"row ID","event_id","minute","xg_home","xg_away","cum_home","cum_away","received_at"
"Row10_5",8298,31,0,0.03,0.249,0.06,"2026-06-15T10:00:30.270Z"
"Row10_6",8298,33,0.136,0,0.385,0.06,"2026-06-15T10:00:30.270Z"
"Row10_7",8298,43,0,0.032,0.385,0.092,"2026-06-15T10:00:30.270Z"
"Row10_8",8298,52,0,0.028,0.385,0.119,"2026-06-15T10:00:30.270Z"
"Row10_9",8298,53,0.031,0,0.416,0.119,"2026-06-15T10:00:30.270Z"
"Row10_10",8298,56,0,0.152,0.416,0.272,"2026-06-15T10:00:30.270Z"
"Row10_11",8298,59,0.358,0,0.774,0.272,"2026-06-15T10:00:30.270Z"
"Row10_12",8298,66,0.083,0,0.857,0.272,"2026-06-15T10:00:30.270Z"
"Row10_13",8298,68,0.141,0,0.998,0.272,"2026-06-15T10:00:30.270Z"
"Row10_14",8298,84,0.086,0,1.084,0.272,"2026-06-15T10:00:30.270Z"
"Row10_15",8298,88,0.175,0,1.26,0.272,"2026-06-15T10:00:30.270Z"
"Row10_16",8298,90,0.102,0.009,1.362,0.28,"2026-06-15T10:00:30.270Z"
"Row11_1",8299,15,0.025,0,0.025,0,"2026-06-16T00:00:30.819Z"
"Row11_2",8299,19,0.023,0,0.048,0,"2026-06-16T00:00:30.819Z"
"Row11_3",8299,20,0.02,0,0.068,0,"2026-06-16T00:00:30.819Z"
"Row11_4",8299,27,0,0.01,0.068,0.01,"2026-06-16T00:00:30.819Z"
"Row11_5",8299,29,0.08,0,0.148,0.01,"2026-06-16T00:00:30.819Z"
"Row11_6",8299,35,0,0.018,0.148,0.028,"2026-06-16T00:00:30.819Z"
"Row11_7",8299,38,0,0.012,0.148,0.04,"2026-06-16T00:00:30.819Z"
"Row11_8",8299,39,0.614,0,0.762,0.04,"2026-06-16T00:00:30.819Z"
"Row11_9",8299,40,0.19,0,0.952,0.04,"2026-06-16T00:00:30.819Z"
"Row11_10",8299,41,0.01,0,0.962,0.04,"2026-06-16T00:00:30.819Z"
"Row11_11",8299,45,0.37,0,1.333,0.04,"2026-06-16T00:00:30.819Z"
"Row11_12",8299,48,0.106,0,1.439,0.04,"2026-06-16T00:00:30.819Z"
"Row11_13",8299,51,0.075,0,1.514,0.04,"2026-06-16T00:00:30.819Z"
"Row11_14",8299,56,0.191,0,1.705,0.04,"2026-06-16T00:00:30.819Z"
"Row11_15",8299,58,0.026,0,1.732,0.04,"2026-06-16T00:00:30.819Z"
"Row11_16",8299,73,0.105,0,1.836,0.04,"2026-06-16T00:00:30.819Z"
"Row11_17",8299,75,0.082,0,1.918,0.04,"2026-06-16T00:00:30.819Z"
"Row11_18",8299,78,0.072,0,1.99,0.04,"2026-06-16T00:00:30.819Z"
"Row11_19",8299,83,0.069,0,2.06,0.04,"2026-06-16T00:00:30.819Z"
"Row11_20",8299,85,0.026,0,2.085,0.04,"2026-06-16T00:00:30.819Z"
"Row11_21",8299,88,0.063,0,2.148,0.04,"2026-06-16T00:00:30.819Z"
"Row11_22",8299,90,0.127,0.261,2.275,0.301,"2026-06-16T00:00:30.819Z"
"Row12_1",8300,6,0.025,0,0.025,0,"2026-06-16T03:00:30.451Z"
"Row12_2",8300,7,0.06,0,0.085,0,"2026-06-16T03:00:30.451Z"
"Row12_3",8300,20,0,0.072,0.085,0.072,"2026-06-16T03:00:30.451Z"
"Row12_4",8300,31,0.039,0,0.124,0.072,"2026-06-16T03:00:30.451Z"
"Row12_5",8300,33,0,0.024,0.124,0.096,"2026-06-16T03:00:30.451Z"
"Row12_6",8300,38,0.096,0,0.22,0.096,"2026-06-16T03:00:30.451Z"
"Row12_7",8300,39,0.084,0,0.304,0.096,"2026-06-16T03:00:30.451Z"
"Row12_8",8300,43,0.033,0,0.336,0.096,"2026-06-16T03:00:30.451Z"
"Row12_9",8300,45,0.12,0.066,0.457,0.162,"2026-06-16T03:00:30.451Z"
"Row12_10",8300,48,0,0.346,0.457,0.508,"2026-06-16T03:00:30.451Z"
"Row12_11",8300,53,0.066,0,0.522,0.508,"2026-06-16T03:00:30.451Z"
"Row12_12",8300,55,0,0.28,0.522,0.788,"2026-06-16T03:00:30.451Z"
"Row12_13",8300,57,0,0.029,0.522,0.817,"2026-06-16T03:00:30.451Z"
"Row12_14",8300,60,0,0.102,0.522,0.919,"2026-06-16T03:00:30.451Z"
"Row12_15",8300,62,0.167,0,0.69,0.919,"2026-06-16T03:00:30.451Z"
"Row12_16",8300,65,0,0.06,0.69,0.978,"2026-06-16T03:00:30.451Z"
"Row12_17",8300,73,0.05,0,0.739,0.978,"2026-06-16T03:00:30.451Z"
"Row12_18",8300,78,0.065,0,0.804,0.978,"2026-06-16T03:00:30.451Z"
"Row12_19",8300,79,0,0.018,0.804,0.996,"2026-06-16T03:00:30.451Z"
"Row12_20",8300,83,0.221,0,1.025,0.996,"2026-06-16T03:00:30.451Z"
"Row12_21",8300,84,0,0.072,1.025,1.068,"2026-06-16T03:00:30.451Z"
"Row12_22",8300,87,0.196,0,1.222,1.068,"2026-06-16T03:00:30.451Z"
"Row12_23",8300,90,0.095,0.022,1.316,1.091,"2026-06-16T03:00:30.451Z"
"Row13_1",8301,5,0,0.11,0,0.11,"2026-06-16T06:00:30.430Z"
"Row13_2",8301,18,0.03,0,0.03,0.11,"2026-06-16T06:00:30.430Z"
"Row13_3",8301,21,0,0.1,0.03,0.21,"2026-06-16T06:00:30.430Z"
"Row13_4",8301,38,0.07,0,0.1,0.21,"2026-06-16T06:00:30.430Z"
"Row13_5",8301,39,0.025,0,0.125,0.21,"2026-06-16T06:00:30.430Z"
"Row13_6",8301,40,0.089,0,0.215,0.21,"2026-06-16T06:00:30.430Z"
"Row13_7",8301,41,0.786,0,1.001,0.21,"2026-06-16T06:00:30.430Z"
"Row13_8",8301,45,0,0.175,1.001,0.385,"2026-06-16T06:00:30.430Z"
"Row13_9",8301,46,0,0.039,1.001,0.424,"2026-06-16T06:00:30.430Z"
"Row13_10",8301,50,0,0.059,1.001,0.483,"2026-06-16T06:00:30.430Z"
"Row13_11",8301,54,0,0.063,1.001,0.546,"2026-06-16T06:00:30.430Z"
"Row13_12",8301,59,0,0.02,1.001,0.566,"2026-06-16T06:00:30.430Z"
"Row13_13",8301,60,0,0.079,1.001,0.645,"2026-06-16T06:00:30.430Z"
"Row13_14",8301,67,0,0.058,1.001,0.703,"2026-06-16T06:00:30.430Z"
"Row13_15",8301,79,0,0.052,1.001,0.754,"2026-06-16T06:00:30.430Z"
"Row13_16",8301,80,0,0.478,1.001,1.232,"2026-06-16T06:00:30.430Z"
"Row13_17",8301,82,0,0.019,1.001,1.251,"2026-06-16T06:00:30.430Z"
"Row13_18",8301,83,0,0.107,1.001,1.358,"2026-06-16T06:00:30.430Z"
"Row13_19",8301,87,0.064,0,1.064,1.358,"2026-06-16T06:00:30.430Z"
"Row13_20",8301,90,0,0.306,1.064,1.664,"2026-06-16T06:00:30.430Z"
"Row14_1",8302,6,0.048,0,0.048,0,"2026-06-16T09:00:30.994Z"
"Row14_2",8302,7,0,0.11,0.048,0.11,"2026-06-16T09:00:30.994Z"
"Row14_3",8302,12,0,0.106,0.048,0.216,"2026-06-16T09:00:30.994Z"
"Row14_4",8302,14,0,0.065,0.048,0.281,"2026-06-16T09:00:30.994Z"
"Row14_5",8302,15,0,0.105,0.048,0.386,"2026-06-16T09:00:30.994Z"
"Row14_6",8302,19,0,0.03,0.048,0.416,"2026-06-16T09:00:30.994Z"
"Row14_7",8302,23,0.134,0,0.182,0.416,"2026-06-16T09:00:30.994Z"
"Row14_8",8302,29,0.067,0,0.249,0.416,"2026-06-16T09:00:30.994Z"
