"row ID","event_id","sequence","received_at","xg","gml","min","sit","body","home","type","xgot","added","player_id","gm_x","gm_y","gm_z","pos_x","pos_y","pos_z","block_x","block_y","block_z","gtype"
"Row4_2",8293,1,"2026-06-14T06:00:29.420Z",0.0226,"close-right",90,"regular","right-foot",0,"miss",,9,1070,0,43.5,13.9,28.1,48.7,0,1,56.1,0,
"Row4_3",8293,2,"2026-06-14T06:00:29.420Z",0.0302,"low-centre",90,"corner","left-foot",1,"save",0.0226,3,3877,0,50,3.2,6.9,69.9,0,1,53.2,0,
"Row4_4",8293,3,"2026-06-14T06:00:29.420Z",0.0742,"left",90,"assisted","head",1,"miss",,1,3877,0,98.8,31.9,9.6,55,0,19,1.4,0,
"Row4_5",8293,4,"2026-06-14T06:00:29.420Z",0.042,"low-left",82,"assisted","left-foot",1,"block",,,4119,0,54.3,19,4.6,32.5,0,4.1,33.9,0,
"Row4_6",8293,5,"2026-06-14T06:00:29.420Z",0.1313,"low-centre",78,"assisted","left-foot",1,"save",0.1191,,747,0,51,5.1,13.3,39.1,0,1.8,48.9,0,
"Row4_7",8293,6,"2026-06-14T06:00:29.420Z",0.0691,"high-centre",52,"throw-in-set-piece","left-foot",1,"save",0.1534,,473,0,51.6,29.8,10.5,32.7,0,2.7,44.4,0,
"Row4_8",8293,7,"2026-06-14T06:00:29.420Z",0.0563,"low-centre",48,"corner","right-foot",1,"block",,,2244,0,49.4,19,3.3,59.9,0,2.4,57.4,0,
"Row4_9",8293,8,"2026-06-14T06:00:29.420Z",0.0072,"high-right",46,"regular","right-foot",1,"miss",,,709,0,30.4,63.9,27.1,73,0,12.1,75.1,0,
"Row4_10",8293,9,"2026-06-14T06:00:29.420Z",0.0473,"left",45,"corner","head",1,"miss",,3,2244,0,71.1,1.4,4.9,60.1,0,,,,
"Row4_11",8293,10,"2026-06-14T06:00:29.420Z",0.1173,"low-right",45,"assisted","left-foot",1,"save",0.6106,2,1642,0,47.1,14.6,12.2,41.1,0,1,47.5,0,
"Row4_12",8293,11,"2026-06-14T06:00:29.420Z",0.096,"high-right",32,"assisted","right-foot",1,"goal",0.5812,,595,0,47.1,22.2,7.7,33.6,0,,,,"regular"
"Row4_13",8293,12,"2026-06-14T06:00:29.420Z",0.0939,"high-right",31,"regular","right-foot",0,"miss",,,4241,0,43.7,95.8,18.6,48.2,0,,,,
"Row4_14",8293,13,"2026-06-14T06:00:29.420Z",0.0156,"low-right",30,"set-piece","right-foot",0,"save",0.2045,,598,0,47.4,6.3,16.8,38.8,0,2.3,48.2,0,
"Row4_15",8293,14,"2026-06-14T06:00:29.420Z",0.0651,"low-centre",30,"set-piece","right-foot",0,"block",,,3511,0,50,19,8.9,38.9,0,8.2,39.7,0,
"Row4_16",8293,15,"2026-06-14T06:00:29.420Z",0.0962,"left",29,"set-piece","head",0,"miss",,,1070,0,65.2,27.8,6.1,58.8,0,2,45.7,0,
"Row4_17",8293,16,"2026-06-14T06:00:29.420Z",0.1014,"left",27,"fast-break","right-foot",0,"miss",,,4241,0,61.2,5.6,21.6,59.9,0,,,,
"Row4_18",8293,17,"2026-06-14T06:00:29.420Z",0.6363,"low-centre",21,"fast-break","right-foot",0,"goal",0.269,,3511,0,50.1,12,23.1,48.3,0,,,,"regular"
"Row4_19",8293,18,"2026-06-14T06:00:29.420Z",0.0442,"low-centre",20,"corner","right-foot",1,"block",,,1642,0,50.6,19,17.6,61.5,0,12.4,57.9,0,
"Row4_20",8293,19,"2026-06-14T06:00:29.420Z",0.5245,"high-right",14,"regular","head",1,"miss",,,473,0,26.9,55.6,4.3,47,0,4.6,61.9,0,
"Row4_21",8293,20,"2026-06-14T06:00:29.420Z",0.0186,"low-centre",11,"assisted","left-foot",0,"block",,,3511,0,50,19,24.1,39.9,0,21.1,41.1,0,
"Row4_22",8293,21,"2026-06-14T06:00:29.420Z",0.0604,"low-centre",9,"assisted","right-foot",0,"block",,,598,0,49.7,19,20.9,62.4,0,14.7,58.8,0,
"Row4_23",8293,22,"2026-06-14T06:00:29.420Z",0.0312,"low-left",9,"assisted","left-foot",1,"block",,,747,0,53.9,19,27.5,41.7,0,19.7,43,0,
"Row4_24",8293,23,"2026-06-14T06:00:29.420Z",0.014,"left",7,"assisted","right-foot",0,"miss",,,4241,0,68.4,1.4,9.2,74.8,0,,,,
"Row4_25",8293,24,"2026-06-14T06:00:29.420Z",0.0173,"low-right",7,"assisted","right-foot",0,"block",,,1619,0,46.8,19,27.8,29.9,0,21.5,35.2,0,
"Row4_26",8293,25,"2026-06-14T06:00:29.420Z",0.1248,"low-centre",6,"assisted","right-foot",0,"block",,,1070,0,51.1,19,15.5,47.9,0,4.9,48.6,0,
"Row4_27",8293,26,"2026-06-14T06:00:29.420Z",0.0317,"low-centre",6,"assisted","right-foot",0,"block",,,598,0,49.2,19,14.2,70.3,0,11.1,66.1,0,
"Row5_1",8294,0,"2026-06-14T09:00:29.353Z",0.0207,"high-right",90,"set-piece","right-foot",1,"miss",,7,17099,0,43,90.3,27.9,52.6,0,,,,
"Row5_2",8294,1,"2026-06-14T09:00:29.353Z",0.3085,"high-centre",90,"assisted","right-foot",1,"save",0.1046,4,9020,0,50,25.3,13,43.6,0,3.8,48.4,0,
"Row5_3",8294,2,"2026-06-14T09:00:29.353Z",0.0559,"left",85,"assisted","head",1,"miss",,,9020,0,59.5,11.1,9.7,50.2,0,,,,
"Row5_4",8294,3,"2026-06-14T09:00:29.353Z",0.0108,"close-right",79,"assisted","right-foot",1,"miss",,,2103,0,42.9,2.8,28.3,51,0,1.2,57.6,0,
"Row5_5",8294,4,"2026-06-14T09:00:29.353Z",0.039,"low-right",79,"regular","right-foot",1,"block",,,17101,0,48,19,12.9,31.1,0,10.6,34.8,0,
"Row5_6",8294,5,"2026-06-14T09:00:29.353Z",0.0539,"low-centre",78,"assisted","right-foot",1,"block",,,532,0,49.9,19,21.9,50.2,0,15.5,50.2,0,
"Row5_7",8294,6,"2026-06-14T09:00:29.353Z",0.0315,"right",73,"regular","right-foot",1,"miss",,,17101,0,40.5,2.8,14.5,29.3,0,,,,
"Row5_8",8294,7,"2026-06-14T09:00:29.353Z",0.0885,"right",73,"assisted","left-foot",0,"miss",,,510,0,40.5,2.8,11.9,41.1,0,,,,
"Row5_9",8294,8,"2026-06-14T09:00:29.353Z",0.0379,"low-left",55,"assisted","right-foot",0,"block",,,4027,0,52.6,16.7,5.8,66.2,0,4.9,63.7,0,
"Row5_10",8294,9,"2026-06-14T09:00:29.353Z",0.0188,"high-right",42,"assisted","right-foot",1,"miss",,,532,0,43.4,90.3,25.3,43.4,0,,,,
"Row5_11",8294,10,"2026-06-14T09:00:29.353Z",0.0108,"high",36,"set-piece","head",1,"miss",,,353,0,44.7,69.4,8.9,65.6,0,,,,
"Row5_12",8294,11,"2026-06-14T09:00:29.353Z",0.4596,"low-centre",34,"regular","left-foot",1,"block",,,9020,0,50.3,19,6.4,48.1,0,5.3,48.4,0,
"Row5_13",8294,12,"2026-06-14T09:00:29.353Z",0.0338,"low-left",34,"assisted","right-foot",1,"save",0.1184,,17101,0,52.8,3.2,9.7,29.7,0,2.1,45.7,0,
"Row5_14",8294,13,"2026-06-14T09:00:29.353Z",0.0267,"right",34,"set-piece","head",1,"miss",,,17095,0,0.3,1.4,11.9,51.9,0,1.5,100,0,
"Row5_15",8294,14,"2026-06-14T09:00:29.353Z",0.0431,"left",32,"assisted","head",0,"miss",,,5774,0,86.6,1.4,7.3,60,0,,,,
"Row5_16",8294,15,"2026-06-14T09:00:29.353Z",0.1399,"high-centre",28,"regular","left-foot",0,"goal",0.3371,,510,0,49.4,24.7,14.2,51.7,0,,,,"regular"
"Row5_17",8294,16,"2026-06-14T09:00:29.353Z",0.5774,"low-right",28,"regular","right-foot",0,"save",0.8463,,1843,0,47.1,1.9,3.6,53.3,0,1.5,52.3,0,
"Row5_18",8294,17,"2026-06-14T09:00:29.353Z",0.0843,"right",17,"assisted","right-foot",0,"post",,,1088,0,44.5,16.5,15.7,63.4,0,,,,
"Row5_19",8294,18,"2026-06-14T09:00:29.353Z",0.0285,"low-centre",13,"assisted","right-foot",1,"block",,,353,0,48.6,15.3,24.3,50.3,0,20.6,50.9,0,
"Row5_20",8294,19,"2026-06-14T09:00:29.353Z",0.0865,"high",11,"assisted","left-foot",1,"miss",,,532,0,55.3,97.2,19.3,47.4,0,,,,
