match_id,result_id,group_id,match_status,date,home_team,home_team_id,away_team,away_team_id,stage
400021532,151698,NA,1,2026-07-05T20:00:00Z,NA,NA,NA,NA,Round of 16
400021531,151697,NA,1,2026-07-06T00:00:00Z,NA,NA,NA,NA,Round of 16
400021529,151700,NA,1,2026-07-06T19:00:00Z,NA,NA,NA,NA,Round of 16
400021534,151699,NA,1,2026-07-07T00:00:00Z,NA,NA,NA,NA,Round of 16
400021528,151702,NA,1,2026-07-07T16:00:00Z,NA,NA,NA,NA,Round of 16
400021535,151701,NA,1,2026-07-07T20:00:00Z,NA,NA,NA,NA,Round of 16
400021536,151703,NA,1,2026-07-09T20:00:00Z,NA,NA,NA,NA,Quarter-final
400021538,151704,NA,1,2026-07-10T19:00:00Z,NA,NA,NA,NA,Quarter-final
400021539,151706,NA,1,2026-07-11T21:00:00Z,NA,NA,NA,NA,Quarter-final
400021537,151705,NA,1,2026-07-12T01:00:00Z,NA,NA,NA,NA,Quarter-final
400021541,151707,NA,1,2026-07-14T19:00:00Z,NA,NA,NA,NA,Semi-final
400021540,151708,NA,1,2026-07-15T19:00:00Z,NA,NA,NA,NA,Semi-final
400021542,151709,NA,1,2026-07-18T21:00:00Z,NA,NA,NA,NA,Play-off for third place
400021543,151710,NA,1,2026-07-19T19:00:00Z,NA,NA,NA,NA,Final
