"row ID","n","name","pos","x","y","player_id","side","event_id","received_at"
"Row3156",71,"J. Bellingham","M",54.6,46.6,592,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3157",54,"B. Saka","F",62.2,16,455,"away",8385,"2026-07-12T05:01:21.622Z"
"Row3158",58,"A. Gordon","F",65.3,84.1,711,"away",8385,"2026-07-12T05:01:21.622Z"
"Row1502",62,"D. Olmo","M",61.2,38.9,746,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1503",36,"M. Oyarzabal","F",67.3,52.2,3890,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1504",59,"U. Simón","G",13.8,52.1,562,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1505",58,"Pedri","M",63.1,62,744,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1506",88,"L. Yamal","M",73.1,24,745,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1507",18,"F. Torres","F",68.9,52.8,749,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1508",113,"P. Porro","D",54.8,15.4,719,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1509",122,"Rodri","M",52.5,46.1,4267,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1510",52,"F. Ruiz","M",57.8,63.3,2249,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1511",13,"N. Williams","M",67.5,76.8,571,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1512",115,"P. Cubarsí","D",39.9,33.9,740,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1513",49,"A. Baena","M",69.4,69.8,769,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1514",12,"M. Merino","M",53.7,45.5,451,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1515",85,"A. Laporte","D",38.3,68.7,565,"home",8384,"2026-07-11T03:01:21.217Z"
"Row1516",64,"M. Cucurella","D",59.9,86.1,386,"home",8384,"2026-07-11T03:01:21.217Z"
"Row3126",24,"L. Trossard","F",42.7,28.7,3461,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3127",40,"M. De Cuyper","D",38.7,82.1,491,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3128",23,"H. Vanaken","M",49.5,39.6,3542,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3129",46,"C. De Ketelaere","F",60.6,52.4,1305,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3130",9,"R. Lukaku","F",71,44.4,8676,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3131",19,"S. Lammens","G",7.1,51.1,1788,"away",8384,"2026-07-11T03:01:21.217Z"
"Row3132",19,"J. Seys","D",25.3,75.9,3538,"away",8384,"2026-07-11T03:01:21.217Z"
