"row ID","event_id","sequence","reason","type","minute","away_score","home_score","assist","player","is_home","sequence (#1)","goal_type","player_id","added_time","player_in","player_out","player_in_id","player_out_id","length","card_type","decision","confirmed","is_manager","text","received_at","is_live"
"Row101_21",8388,20,,"card",37,,,,"E. Anderson",1,,,548,,,,,,,"yellow",,,,,"2026-07-16T03:00:06.510Z",
"Row100_1",8387,0,,"period",90,2,0,,,,,,,,,,,,,,,,,"FT","2026-07-14T21:55:34.182Z",0
"Row100_2",8387,1,,"injuryTime",90,,,,,,,,,,,,,,7,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_3",8387,2,,"card",86,,,,"K. Mbappé",1,,,594,,,,,,,"yellow",,,,,"2026-07-14T21:55:34.182Z",
"Row100_4",8387,3,,"substitution",84,,,,,0,,,,,"N. Williams","A. Baena",571,769,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_5",8387,4,,"substitution",84,,,,,0,,,,,"M. Llorente","P. Porro",3832,719,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_6",8387,5,,"substitution",78,,,,,0,,,,,"Pedri","F. Ruiz",744,2249,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_7",8387,6,,"substitution",78,,,,,0,,,,,"M. Merino","D. Olmo",451,746,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_8",8387,7,,"substitution",74,,,,,0,,,,,"F. Torres","M. Oyarzabal",749,3890,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_9",8387,8,,"substitution",72,,,,,1,,,,,"R. Cherki","M. Olise",856,2467,,,,,,,"2026-07-14T21:55:34.182Z",
"Row100_10",8387,9,,"substitution",72,,,,,1,,,,,"T. Hernández","L. Digne",7994,513,,,,,,,"2026-07-14T21:55:34.182Z",
